game_id,home_team,away_team,goalie_name,opening_line,goalieTeam
11952,FLA,SJ,Mackenzie Blackwood,30.5,SJ
11952,FLA,SJ,Anthony Stolarz,26.5,FLA
11953,NYI,COL,Ilya Sorokin,28.5,NYI
11953,NYI,COL,Alexandar Georgiev,26.5,COL
11954,DET,SEA,Ville Husso,25.5,DET
11954,DET,SEA,Joey Daccord,26.5,SEA
11955,CHI,BOS,Petr Mrazek,29.5,CHI
11955,CHI,BOS,Jeremy Swayman,26.5,BOS
11956,WPG,STL,Jordan Binnington,28.5,STL
11956,WPG,STL,Connor Hellebuyck,24.5,WPG
11957,MIN,EDM,Jack Campbell,26.5,EDM
11957,MIN,EDM,Filip Gustavsson,28.5,MIN
11958,NSH,VAN,Thatcher Demko,28.5,VAN
11958,NSH,VAN,Juuse Saros,26.5,NSH
11959,CGY,NYR,Jacob Markstrom,25.5,CGY
11959,CGY,NYR,Igor Shesterkin,28.5,NYR
11960,LA,ARI,Connor Ingram,30.5,ARI
11960,LA,ARI,Pheonix Copley,24.5,LA
11961,VGK,PHI,Logan Thompson,27.5,VGK
11962,NJ,WSH,Akira Schmid,25.5,NJ
11962,NJ,WSH,Hunter Shepard,29.5,WSH
11963,TB,SJ,Mackenzie Blackwood,29.5,SJ
11963,TB,SJ,Jonas Johansson,25.5,TB
11964,PIT,COL,Alexandar Georgiev,28.5,COL
11964,PIT,COL,Tristan Jarry,27.5,PIT
11965,MTL,CBJ,Sam Montembeault,28.5,MTL
11965,MTL,CBJ,Elvis Merzlikins,27.5,CBJ
11966,BOS,ANA,John Gibson,31.5,ANA
11966,BOS,ANA,Linus Ullmark,24.5,BOS
11967,DET,WPG,Connor Hellebuyck,26.5,WPG
11967,DET,WPG,James Reimer,27.5,DET
11968,CAR,SEA,Frederik Andersen,24.5,CAR
11968,CAR,SEA,Joey Daccord,28.5,SEA
11969,NYI,OTT,Ilya Sorokin,28.5,NYI
11969,NYI,OTT,Joonas Korpisalo,27.5,OTT
11970,PHI,MIN,Filip Gustavsson,28.5,MIN
11970,PHI,MIN,Carter Hart,25.5,PHI
11971,DAL,TOR,Scott Wedgewood,28.5,DAL
11971,DAL,TOR,Joseph Woll,28.5,TOR
11972,EDM,NYR,Stuart Skinner,25.5,EDM
11973,CGY,STL,Jacob Markstrom,23.5,CGY
11973,CGY,STL,Joel Hofer,30.5,STL
11974,VGK,CHI,Petr Mrazek,29.5,CHI
11975,CAR,SJ,Antti Raanta,22.5,CAR
11975,CAR,SJ,Kaapo Kahkonen,31.5,SJ
11976,NJ,BUF,Eric Comrie,28.5,BUF
11976,NJ,BUF,Vitek Vanecek,27.5,NJ
11977,WSH,MIN,Marc-Andre Fleury,27.5,MIN
11977,WSH,MIN,Darcy Kuemper,26.5,WSH
11978,ARI,LA,Karel Vejmelka,27.5,ARI
11978,ARI,LA,Pheonix Copley,24.5,LA
11979,VAN,STL,Thatcher Demko,25.5,VAN
11979,VAN,STL,Jordan Binnington,27.5,STL
11980,PHI,ANA,Samuel Ersson,25.5,PHI
11980,PHI,ANA,Lukas Dostal,30.5,ANA
11981,FLA,SEA,Sergei Bobrovsky,26.5,FLA
11982,BOS,DET,Ville Husso,27.5,DET
11982,BOS,DET,Jeremy Swayman,26.5,BOS
11983,MTL,WPG,Jake Allen,29.5,MTL
11983,MTL,WPG,Laurent Brossoit,25.5,WPG
11984,PIT,OTT,Joonas Korpisalo,29.5,OTT
11984,PIT,OTT,Tristan Jarry,27.5,PIT
11985,NSH,TOR,Ilya Samsonov,26.5,TOR
11985,NSH,TOR,Juuse Saros,28.5,NSH
11986,CBJ,NYI,Semyon Varlamov,27.5,NYI
11987,VAN,NYR,Igor Shesterkin,25.5,NYR
11987,VAN,NYR,Casey DeSmith,27.5,VAN
11988,LA,VGK,Logan Thompson,29.5,VGK
11988,LA,VGK,Cam Talbot,24.5,LA
11989,BUF,COL,Ukko-Pekka Luukkonen,30.5,BUF
11989,BUF,COL,Alexandar Georgiev,26.5,COL
11990,WSH,SJ,Darcy Kuemper,25.5,WSH
11990,WSH,SJ,Mackenzie Blackwood,29.5,SJ
11991,NJ,MIN,Marc-Andre Fleury,28.5,MIN
11992,EDM,CGY,Stuart Skinner,27.5,EDM
11993,TB,SEA,Philipp Grubauer,26.5,SEA
11993,TB,SEA,Jonas Johansson,27.5,TB
11994,PHI,CAR,Carter Hart,28.5,PHI
11994,PHI,CAR,Frederik Andersen,25.5,CAR
11995,PIT,ANA,Tristan Jarry,24.5,PIT
11995,PIT,ANA,John Gibson,32.5,ANA
11996,BOS,FLA,Linus Ullmark,27.5,BOS
11997,NYI,DET,Ilya Sorokin,27.5,NYI
11997,NYI,DET,Ville Husso,27.5,DET
11998,WPG,NYR,Igor Shesterkin,27.5,NYR
11998,WPG,NYR,Connor Hellebuyck,25.5,WPG
11999,DAL,CBJ,Jake Oettinger,26.5,DAL
11999,DAL,CBJ,Elvis Merzlikins,29.5,CBJ
