game_id,home_team,away_team,home_goaltender,away_goaltender
21322,VGK,NYR,Logan Thompson,Igor Shesterkin
21323,CAR,DET,Antti Raanta,Alex Lyon
21324,FLA,MIN,Sergei Bobrovsky,Marc-Andre Fleury
21325,CBJ,NJ,Elvis Merzlikins,Vitek Vanecek
21326,CHI,NYI,Petr Mrazek,Ilya Sorokin
21327,BUF,TB,Ukko-Pekka Luukkonen,Jonas Johansson
21328,PHI,COL,Carter Hart,Alexandar Georgiev
21329,OTT,WPG,Joonas Korpisalo,Connor Hellebuyck
21330,ARI,NSH,Connor Ingram,Juuse Saros
21331,BOS,MTL,Linus Ullmark,Sam Montembeault
21332,NJ,DAL,Nico Daws,Scott Wedgewood
21333,VAN,TOR,Thatcher Demko,Martin Jones
21334,STL,WSH,Jordan Binnington,Charlie Lindgren
21335,CGY,EDM,Dan Vladar,Stuart Skinner
21336,SJ,ANA,Mackenzie Blackwood,John Gibson
21337,VGK,PIT,Logan Thompson,Tristan Jarry
21338,LA,NYR,David Rittich,Jonathan Quick
21339,PHI,OTT,Samuel Ersson,Mads Sogaard
21340,DET,TB,Alex Lyon,Andrei Vasilevskiy
21341,CAR,MIN,Antti Raanta,Filip Gustavsson
21342,NYI,DAL,Ilya Sorokin,Scott Wedgewood
21343,ANA,NYR,Lukas Dostal,Igor Shesterkin
21344,SEA,TOR,Joey Daccord,Ilya Samsonov
21345,BOS,WPG,Jeremy Swayman,Connor Hellebuyck
21346,NJ,VGK,Vitek Vanecek,Logan Thompson
21347,NSH,FLA,Juuse Saros,Anthony Stolarz
21348,ARI,PIT,Connor Ingram,Tristan Jarry
21349,VAN,CHI,Thatcher Demko,Petr Mrazek
21350,LA,SJ,David Rittich,Kaapo Kahkonen
21351,DET,DAL,Alex Lyon,Jake Oettinger
21352,MTL,OTT,Jake Allen,Joonas Korpisalo
21353,PHI,TB,Samuel Ersson,Andrei Vasilevskiy
21354,NYI,VGK,Ilya Sorokin,Adin Hill
21355,MIN,WSH,Filip Gustavsson,Darcy Kuemper
21356,CGY,STL,Jacob Markstrom,Jordan Binnington
21357,EDM,CBJ,Stuart Skinner,Elvis Merzlikins
21358,ANA,BUF,John Gibson,Ukko-Pekka Luukkonen
21359,SJ,NYR,Mackenzie Blackwood,Igor Shesterkin
21360,TOR,WPG,Ilya Samsonov,Laurent Brossoit
21361,FLA,ARI,Sergei Bobrovsky,Karel Vejmelka
21362,BOS,CAR,Linus Ullmark,Spencer Martin
21363,COL,WSH,Alexandar Georgiev,Charlie Lindgren
21364,VAN,STL,Casey DeSmith,Joel Hofer
21365,SEA,CHI,Joey Daccord,Arvid Söderblom
21366,LA,BUF,Cam Talbot,Devon Levi
21367,DET,PHI,Alex Lyon,Samuel Ersson
21368,CAR,NJ,Antti Raanta,Nico Daws
21369,MTL,NYI,Sam Montembeault,Semyon Varlamov
21370,OTT,BOS,Joonas Korpisalo,Jeremy Swayman
21371,TB,ARI,Andrei Vasilevskiy,Connor Ingram
21372,DAL,ANA,Jake Oettinger,John Gibson
21373,MIN,NSH,Filip Gustavsson,Juuse Saros
21374,CGY,CBJ,Jacob Markstrom,Daniil Tarasov
