goalie_name,event_id,opening_line,team
Logan Thompson,11988,29.5,WSH
Cam Talbot,11988,24.5,DET
Ukko-Pekka Luukkonen,11989,30.5,BUF
Alexandar Georgiev,11989,26.5,COL
Darcy Kuemper,11990,25.5,LA
Mackenzie Blackwood,11990,29.5,NJ
Marc-Andre Fleury,11991,28.5,MIN
Stuart Skinner,11992,27.5,EDM
Philipp Grubauer,11993,26.5,SEA
Jonas Johansson,11993,27.5,TB
Carter Hart,11994,28.5,PHI
Frederik Andersen,11994,25.5,CAR
Tristan Jarry,11995,24.5,PIT
John Gibson,11995,32.5,ANA
Linus Ullmark,11996,27.5,OTT
Ilya Sorokin,11997,27.5,NYI
Ville Husso,11997,27.5,DET
Igor Shesterkin,11998,27.5,NYR
Connor Hellebuyck,11998,25.5,WPG
Jake Oettinger,11999,26.5,DAL
Elvis Merzlikins,11999,29.5,CBJ
Connor Ingram,12000,26.5,UTA
Arvid Soderblom,12000,27.5,CHI
Adin Hill,12001,25.5,VGK
Sam Montembeault,12001,29.5,MTL
Cam Talbot,12002,27.5,DET
Joseph Woll,12002,27.5,TOR
Kevin Lankinen,12003,27.5,VAN
Thatcher Demko,12003,26.5,VAN
Ukko-Pekka Luukkonen,12004,28.5,BUF
Carter Hart,12004,26.5,PHI
Jake Oettinger,12005,28.5,DAL
Jacob Markstrom,12005,26.5,NJ
Ivan Prosvetov,12006,25.5,FA
Jordan Binnington,12006,30.5,STL
Lukas Dostal,12007,27.5,ANA
Karel Vejmelka,12007,26.5,UTA
Sergei Bobrovsky,12008,26.5,FLA
James Reimer,12008,27.5,ANA
Frederik Andersen,12009,24.5,CAR
Igor Shesterkin,12009,28.5,NYR
Joonas Korpisalo,12010,27.5,BOS
Cam Talbot,12010,27.5,DET
Darcy Kuemper,12011,27.5,LA
Semyon Varlamov,12011,27.5,NYI
Matt Tomkins,12012,27.5,TB
Elvis Merzlikins,12012,27.5,CBJ
Ilya Samsonov,12013,26.5,VGK
Jeremy Swayman,12013,28.5,BOS
Vitek Vanecek,12014,26.5,SJ
Filip Gustavsson,12014,28.5,MIN
Jake Oettinger,12015,28.0,DAL
Stuart Skinner,12015,26.5,EDM
Scott Wedgewood,12015,28.5,NSH
Jake Allen,12016,27.5,NJ
Karel Vejmelka,12016,26.5,UTA
Connor Ingram,12016,27.5,UTA
Logan Thompson,12017,28.5,WSH
Connor Hellebuyck,12017,26.5,WPG
Juuse Saros,12018,27.5,NSH
Philipp Grubauer,12018,25.5,SEA
Kaapo Kahkonen,12019,28.5,COL
Thatcher Demko,12019,26.5,VAN
Samuel Ersson,12020,26.5,PHI
Ukko-Pekka Luukkonen,12020,28.5,BUF
Jordan Binnington,12021,28.5,STL
Karel Vejmelka,12023,28.5,UTA
Charlie Lindgren,12024,27.5,WSH
Elvis Merzlikins,12024,28.5,CBJ
Devon Levi,12025,29.5,BUF
Joseph Woll,12025,26.5,TOR
Cam Talbot,12026,26.5,DET
Cal Petersen,12026,26.5,PHI
Joel Hofer,12027,27.5,STL
Sam Montembeault,12027,27.5,MTL
Joonas Korpisalo,12028,27.5,BOS
Ville Husso,12029,27.5,DET
Linus Ullmark,12029,27.5,OTT
Ilya Sorokin,12030,30.5,NYI
Antti Raanta,12030,25.5,FA
Anthony Stolarz,12031,27.5,TOR
Petr Mrazek,12031,29.5,CHI
Filip Gustavsson,12032,27.5,MIN
Jonathan Quick,12032,26.5,NYR
Alexandar Georgiev,12033,25.5,COL
Adin Hill,12033,28.5,VGK
Tristan Jarry,12034,24.5,PIT
Mackenzie Blackwood,12034,31.5,NJ
Philipp Grubauer,12035,28.5,SEA
Thatcher Demko,12036,27.5,VAN
Arvid Soderblom,12037,28.5,CHI
Vitek Vanecek,12037,25.5,SJ
Logan Thompson,12038,26.5,WSH
Elvis Merzlikins,12039,28.5,CBJ
Sergei Bobrovsky,12039,26.5,FLA
Jonas Johansson,12040,29.5,TB
Ilya Samsonov,12040,26.5,VGK
Jake Oettinger,12041,26.5,DAL
Jeremy Swayman,12041,27.5,BOS
Thatcher Demko,12042,28.5,VAN
Stuart Skinner,12042,26.5,EDM
Antti Raanta,12043,23.5,FA
Ukko-Pekka Luukkonen,12043,31.5,BUF
Marc-Andre Fleury,12045,27.5,MIN
Semyon Varlamov,12045,27.5,NYI
Ville Husso,12046,26.5,DET
Jonathan Quick,12046,26.5,NYR
Jordan Binnington,12047,28.5,STL
Connor Hellebuyck,12047,25.5,WPG
Joey Daccord,12048,26.5,SEA
Connor Ingram,12048,27.5,UTA
Juuse Saros,12049,28.5,NSH
Jacob Markstrom,12049,25.5,NJ
Vitek Vanecek,12050,28.5,SJ
Alexandar Georgiev,12050,26.5,COL
Tristan Jarry,12051,24.5,PIT
John Gibson,12051,30.5,ANA
Samuel Ersson,12052,24.5,PHI
Mackenzie Blackwood,12052,28.5,NJ
Joseph Woll,12053,27.5,TOR
Sergei Bobrovsky,12054,26.5,FLA
Darcy Kuemper,12054,28.5,LA
Adin Hill,12055,27.5,VGK
Cam Talbot,12055,25.5,DET
Linus Ullmark,12056,27.5,OTT
Ilya Sorokin,12056,29.5,NYI
James Reimer,12057,26.5,ANA
Cayden Primeau,12057,28.5,MTL
Casey DeSmith,12058,28.5,DAL
Anton Forsberg,12058,26.5,OTT
Jonas Johansson,12059,25.5,TB
Petr Mrazek,12059,30.5,CHI
Louis Domingue,12060,27.5,NYR
Marc-Andre Fleury,12060,26.5,MIN
