event_id,home_team,visitor_team
12012,CBJ,TB
12013,BOS,TOR
12014,MIN,NJ
12015,EDM,DAL
12016,ARI,MTL
12017,VGK,WPG
12018,SEA,NSH
12019,SJ,VAN
12020,BUF,PHI
12021,STL,NJ
12022,EDM,NSH
12023,ARI,WPG
12024,WSH,CBJ
12025,TOR,BUF
12026,PHI,LA
12027,STL,MTL
12028,OTT,TB
12029,DET,BOS
12030,NYI,CAR
12031,CHI,FLA
12032,MIN,NYR
12033,VGK,COL
12034,SJ,PIT
12035,SEA,CGY
12036,VAN,DAL
12037,CHI,NJ
12038,ANA,VGK
12039,FLA,CBJ
12040,TOR,TB
12041,DAL,BOS
12042,VAN,EDM
12043,CAR,BUF
12044,MTL,TB
12045,NYI,MIN
12046,NYR,DET
12047,STL,WPG
12048,ARI,SEA
12049,CGY,NSH
12050,COL,NJ
12051,ANA,PIT
12052,SJ,PHI
12053,TOR,OTT
12054,WSH,FLA
12055,VGK,LA
12056,BOS,NYI
12057,DET,MTL
12058,OTT,VAN
12059,TB,CHI
12060,NYR,MIN
12061,CBJ,DAL
12062,WPG,NSH
12063,STL,ARI
12064,COL,SEA
12065,SJ,EDM
12066,LA,PIT
12067,FLA,CAR
12068,NJ,WSH
12069,BUF,MIN
12070,TOR,CGY
12071,VGK,SJ
12072,ANA,PHI
12073,DET,CBJ
12074,WPG,DAL
12075,TB,CAR
12076,TOR,VAN
12077,OTT,CGY
12078,MTL,BOS
12079,NYI,WSH
12080,PIT,BUF
12081,NSH,ARI
12082,COL,STL
12083,SEA,EDM
12084,LA,PHI
12085,FLA,CHI
12086,MIN,DAL
12087,MTL,VAN
12088,NYR,CBJ
12089,ANA,SJ
12090,EDM,NYI
12091,SEA,COL
12092,CBJ,PIT
12093,BUF,BOS
12094,MTL,CGY
12095,WSH,VGK
12096,NSH,ANA
12097,DAL,ARI
12098,WPG,NJ
12099,STL,TB
12100,SJ,FLA
12101,CAR,PHI
12102,EDM,SEA
12103,COL,ANA
12104,VAN,NYI
12105,OTT,DET
12106,PIT,NJ
12107,MTL,VGK
12108,CBJ,ARI
12109,CHI,TB
12110,CGY,VAN
12111,SEA,NYI
12112,SJ,STL
12113,LA,FLA
12114,DET,TOR
12115,WPG,BUF
12116,ANA,FLA
12117,OTT,MIN
12118,PHI,VGK
12119,NSH,CHI
12120,TB,EDM
12121,CAR,PIT
12122,NJ,NYR
12123,BOS,MTL
12124,CGY,NYI
12125,WPG,ARI
12126,WSH,CBJ
12127,DAL,COL
12128,VAN,SEA
12129,LA,STL
12130,MIN,TOR
12131,PHI,CBJ
12132,PIT,VGK
12133,CHI,BUF
12134,ANA,STL
12135,FLA,EDM
12136,TB,BOS
12137,DAL,NYR
12138,NSH,COL
12139,ARI,LA
12140,SEA,CGY
12141,VAN,SJ
12142,DET,NJ
12143,FLA,BOS
12144,TB,WPG
12145,CAR,EDM
12146,PIT,NYR
12147,WSH,BUF
12148,CBJ,CHI
12149,NYI,PHI
12150,NSH,CGY
12151,ARI,STL
12152,DAL,VGK
12153,COL,VAN
12154,ANA,MTL
12155,SEA,SJ
12156,PHI,NYR
12157,BOS,DET
12158,CHI,TOR
12159,NJ,CBJ
12160,WSH,EDM
12161,STL,NSH
12162,ANA,LA
12163,SJ,MTL
12164,BUF,PIT
12165,OTT,NYI
12166,FLA,WPG
12167,CAR,TB
12168,MIN,COL
12169,DAL,CGY
12170,SEA,VAN
12171,NYR,BOS
12172,LA,MTL
12173,PIT,TOR
12174,NJ,BUF
12175,NYI,PHI
12176,COL,CGY
12177,SJ,VAN
12178,VGK,ARI
12179,DET,MIN
12180,CHI,STL
12181,CAR,CBJ
12182,NSH,WPG
12183,EDM,ANA
12184,CBJ,BOS
12185,OTT,FLA
12186,NYR,BUF
12187,COL,TB
12188,CGY,VGK
12189,SJ,WSH
12190,TOR,FLA
12191,NJ,NYI
12192,PHI,CAR
12193,NSH,PIT
12194,MIN,STL
12195,WPG,DAL
12196,CHI,SEA
12197,EDM,VGK
12198,ARI,TB
12199,VAN,ANA
12200,CBJ,MTL
12201,NYR,DET
12202,LA,WSH
12203,DET,CHI
12204,TOR,SEA
12205,TB,PIT
12206,BOS,SJ
12207,PHI,NJ
12208,MTL,FLA
12209,CAR,NYI
12210,WPG,EDM
12211,NSH,MIN
12212,STL,BUF
12213,ARI,COL
12214,CGY,DAL
12215,VAN,VGK
12216,ANA,WSH
12217,NJ,SJ
12218,CBJ,OTT
12219,DAL,TB
12220,WPG,CHI
12221,NSH,NYR
12222,FLA,NYI
12223,MTL,DET
12224,TOR,BOS
12225,OTT,SEA
12226,CAR,BUF
12227,PIT,PHI
12228,ARI,STL
12229,VGK,WSH
12230,ANA,COL
12231,CGY,VAN
12232,MIN,CHI
12233,NYR,SJ
12234,BUF,NSH
12235,BOS,CBJ
12236,LA,COL
12237,TB,DAL
12238,PHI,PIT
12239,MTL,SEA
12240,WPG,CAR
12241,ARI,WSH
12242,VGK,STL
12243,CBJ,LA
12244,OTT,NYR
12245,NYI,SJ
12246,BUF,DET
12247,CHI,NSH
12248,COL,ANA
12249,CGY,MIN
12250,VAN,NJ
12251,FLA,DAL
12252,TB,PIT
12253,STL,VGK
12254,EDM,CAR
12255,BOS,BUF
12256,DET,SJ
12257,OTT,TOR
12258,MTL,LA
