game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023020957,NYI,BOS,26,23,45,44,34,32,0.5056179775280899,0.4943820224719101,0.5151515151515151,0.48484848484848486
2023020958,SEA,EDM,25,24,63,52,40,38,0.5478260869565217,0.45217391304347826,0.5128205128205128,0.48717948717948717
2023020959,NSH,COL,35,26,77,47,54,33,0.6209677419354839,0.3790322580645161,0.6206896551724138,0.3793103448275862
2023020960,BUF,VGK,35,24,83,43,54,33,0.6587301587301587,0.3412698412698413,0.6206896551724138,0.3793103448275862
2023020961,DET,FLA,21,37,47,78,33,55,0.376,0.624,0.375,0.625
2023020962,PHI,OTT,40,26,64,72,49,42,0.47058823529411764,0.5294117647058824,0.5384615384615384,0.46153846153846156
2023020963,TBL,MTL,35,36,65,63,51,46,0.5078125,0.4921875,0.5257731958762887,0.4742268041237113
2023020964,TOR,NYR,37,38,71,72,58,61,0.4965034965034965,0.5034965034965035,0.48739495798319327,0.5126050420168067
2023020965,CHI,CBJ,28,31,56,64,40,42,0.4666666666666667,0.5333333333333333,0.4878048780487805,0.5121951219512195
2023020966,DAL,SJS,45,28,92,63,69,46,0.5935483870967742,0.4064516129032258,0.6,0.4
2023020967,STL,MIN,27,22,54,68,38,43,0.4426229508196721,0.5573770491803278,0.4691358024691358,0.5308641975308642
2023020968,CGY,PIT,20,30,58,58,36,45,0.5,0.5,0.4444444444444444,0.5555555555555556
2023020969,WSH,ARI,26,28,55,69,42,43,0.4435483870967742,0.5564516129032258,0.49411764705882355,0.5058823529411764
2023020970,LAK,NJD,23,31,51,67,38,46,0.4322033898305085,0.5677966101694916,0.4523809523809524,0.5476190476190477
2023020971,BUF,WPG,19,35,50,69,29,44,0.42016806722689076,0.5798319327731093,0.3972602739726027,0.6027397260273972
2023020972,MIN,SJS,32,15,64,38,47,26,0.6274509803921569,0.37254901960784315,0.6438356164383562,0.3561643835616438
2023020973,ANA,VAN,18,31,46,60,31,39,0.4339622641509434,0.5660377358490566,0.44285714285714284,0.5571428571428572
2023020974,EDM,PIT,37,23,65,47,46,37,0.5803571428571429,0.41964285714285715,0.5542168674698795,0.4457831325301205
2023020975,CBJ,VGK,33,39,60,69,44,51,0.46511627906976744,0.5348837209302325,0.4631578947368421,0.5368421052631579
2023020976,NYR,FLA,28,30,58,59,42,43,0.49572649572649574,0.5042735042735043,0.49411764705882355,0.5058823529411764
2023020977,PHI,STL,44,29,75,69,58,40,0.5208333333333334,0.4791666666666667,0.5918367346938775,0.40816326530612246
2023020978,TOR,BOS,33,27,63,49,52,36,0.5625,0.4375,0.5909090909090909,0.4090909090909091
2023020979,COL,CHI,37,37,59,65,46,47,0.47580645161290325,0.5241935483870968,0.4946236559139785,0.5053763440860215
2023020980,CGY,SEA,37,30,84,62,58,38,0.5753424657534246,0.4246575342465753,0.6041666666666666,0.3958333333333333
2023020981,BOS,EDM,25,26,44,71,33,43,0.3826086956521739,0.6173913043478261,0.4342105263157895,0.5657894736842105
2023020982,NJD,FLA,24,31,58,55,38,41,0.5132743362831859,0.48672566371681414,0.4810126582278481,0.5189873417721519
2023020983,PIT,CBJ,31,35,70,75,41,53,0.4827586206896552,0.5172413793103449,0.43617021276595747,0.5638297872340425
2023020984,NYI,STL,33,21,68,38,49,25,0.6415094339622641,0.3584905660377358,0.6621621621621622,0.33783783783783783
2023020985,NSH,MTL,28,30,59,56,43,38,0.5130434782608696,0.48695652173913045,0.5308641975308642,0.4691358024691358
2023020986,WPG,SEA,33,24,70,45,50,33,0.6086956521739131,0.391304347826087,0.6024096385542169,0.39759036144578314
2023020987,ARI,CHI,39,32,64,68,48,49,0.48484848484848486,0.5151515151515151,0.4948453608247423,0.5051546391752577
2023020988,LAK,VAN,24,31,45,65,33,45,0.4090909090909091,0.5909090909090909,0.4230769230769231,0.5769230769230769
2023020989,SJS,DAL,20,40,44,77,29,59,0.36363636363636365,0.6363636363636364,0.32954545454545453,0.6704545454545454
2023020990,TOR,BUF,27,25,47,58,38,40,0.44761904761904764,0.5523809523809524,0.48717948717948717,0.5128205128205128
2023020991,COL,DET,54,29,92,46,67,35,0.6666666666666666,0.3333333333333333,0.6568627450980392,0.3431372549019608
2023020992,ANA,OTT,16,30,42,71,28,51,0.37168141592920356,0.6283185840707964,0.35443037974683544,0.6455696202531646
2023020993,BOS,TOR,25,29,57,62,45,47,0.4789915966386555,0.5210084033613446,0.4891304347826087,0.5108695652173914
2023020994,CAR,MTL,39,25,89,47,64,37,0.6544117647058824,0.34558823529411764,0.6336633663366337,0.36633663366336633
2023020995,CBJ,EDM,34,31,62,58,44,46,0.5166666666666667,0.48333333333333334,0.4888888888888889,0.5111111111111111
2023020996,FLA,PHI,30,26,66,59,37,40,0.528,0.472,0.4805194805194805,0.5194805194805194
